"","Species","MeanMaxLen","MeanMinLen","SeMaxLen","seMinLen"
"1","Clupea harengus",345.555555555556,73.7777777777778,13.4088769029319,16.1722108581481
"2","Gadus morhua",1223.2,64.6666666666667,82.1898025083625,37.6346068979555
"3","Glyptocephalus cynoglossus",430,106.666666666667,39.6412483586046,92.8644685754973
"4","Melanogrammus aeglefinus",713.777777777778,96.7333333333333,63.1120536279031,22.0169356302246
"5","Merlangius merlangus",535.133333333333,61.5555555555556,44.0679227804286,10.434983894999
"6","Pleuronectes platessa",513.838709677419,73.6774193548387,39.0402329007684,25.0511305091197
"7","Pollachius virens",1022.32558139535,224.186046511628,79.6371894849303,86.6364203119795
"8","Scomber scombrus",378.688888888889,175.111111111111,49.9508040804433,27.7875235428864
"9","Sprattus sprattus",164.777777777778,45.7777777777778,7.83027019413323,5.93100056287029
"10","Trisopterus esmarkii",234.066666666667,73.1111111111111,13.5686805146665,9.670062099599
