,Species,Age,Length
1,Clupea harengus,1,150.7799853
2,Clupea harengus,2,217.8008299
3,Clupea harengus,3,263.1104651
4,Clupea harengus,4,280
5,Clupea harengus,5,290
6,Clupea harengus,6,320
7,Clupea harengus,7,330
8,Clupea harengus,8,315
9,Clupea harengus,1,155.2564103
10,Clupea harengus,2,220.9971306
11,Clupea harengus,3,259.9019608
12,Clupea harengus,4,284.3793103
13,Clupea harengus,5,292.7777778
14,Clupea harengus,6,320
15,Clupea harengus,7,313
16,Clupea harengus,8,327.5
17,Clupea harengus,1,152.8796047
18,Clupea harengus,2,214.8227612
19,Clupea harengus,3,258.5714286
20,Clupea harengus,4,277.1153846
21,Clupea harengus,5,285.5263158
22,Clupea harengus,1,149.82706
23,Clupea harengus,2,215.3299916
24,Clupea harengus,3,255.5555556
25,Clupea harengus,4,284.2253521
26,Clupea harengus,5,311.2087912
27,Clupea harengus,6,324.8245614
28,Clupea harengus,7,298.3333333
29,Clupea harengus,9,310
30,Clupea harengus,10,330
31,Clupea harengus,11,320
32,Clupea harengus,1,158.8530991
33,Clupea harengus,2,213.960217
34,Clupea harengus,3,250.851927
35,Clupea harengus,4,278.3892617
36,Clupea harengus,5,304.9367089
37,Clupea harengus,6,304.7222222
38,Clupea harengus,7,310.8571429
39,Clupea harengus,8,315
40,Clupea harengus,9,312.5
41,Clupea harengus,10,335
42,Clupea harengus,1,148.9605766
43,Clupea harengus,2,216.9716574
44,Clupea harengus,3,251.9648318
45,Clupea harengus,4,277.2262774
46,Clupea harengus,5,297.8037383
47,Clupea harengus,6,307.96875
48,Clupea harengus,7,312.3214286
49,Clupea harengus,8,310
50,Clupea harengus,11,335
51,Clupea harengus,1,145.8546735
52,Clupea harengus,2,223.301756
53,Clupea harengus,3,257.66
54,Clupea harengus,4,278.0212014
55,Clupea harengus,5,306.6071429
56,Clupea harengus,6,308.625
57,Clupea harengus,7,314.5238095
58,Clupea harengus,8,322.03125
59,Clupea harengus,9,323.4615385
60,Clupea harengus,10,331.6666667
61,Clupea harengus,11,327.5
62,Clupea harengus,1,146.425965
63,Clupea harengus,2,216.1469673
64,Clupea harengus,3,257.7243067
65,Clupea harengus,4,272.5132275
66,Clupea harengus,5,291.1290323
67,Clupea harengus,6,317.4242424
68,Clupea harengus,7,305
69,Clupea harengus,8,338
70,Clupea harengus,9,335
71,Clupea harengus,10,345
73,Clupea harengus,13,335
74,Clupea harengus,1,146.4024896
75,Clupea harengus,2,208.3320523
76,Clupea harengus,3,248.591716
77,Clupea harengus,4,269.8341232
78,Clupea harengus,5,279.4
79,Clupea harengus,6,306
80,Clupea harengus,7,303.75
81,Clupea harengus,8,322.5
82,Clupea harengus,9,325
83,Clupea harengus,1,139.9800228
84,Clupea harengus,2,212.4793187
85,Clupea harengus,3,246.1363636
86,Clupea harengus,4,270.5338809
87,Clupea harengus,5,287.5
88,Clupea harengus,6,297.1126761
89,Clupea harengus,7,310.3571429
90,Clupea harengus,8,318.4210526
91,Clupea harengus,9,328.3333333
92,Clupea harengus,10,335
93,Clupea harengus,11,357.5
94,Clupea harengus,1,139.6463785
95,Clupea harengus,2,210.0222025
96,Clupea harengus,3,250.2612482
97,Clupea harengus,4,264.8961039
98,Clupea harengus,5,285.2392344
99,Clupea harengus,6,304.4852941
100,Clupea harengus,7,292.1428571
101,Clupea harengus,8,306.5
102,Clupea harengus,9,318.3333333
103,Clupea harengus,10,315
104,Clupea harengus,11,327.5
105,Clupea harengus,12,320
106,Clupea harengus,1,128.6279214
107,Clupea harengus,2,197.1053323
108,Clupea harengus,3,240.2866022
109,Clupea harengus,4,264.2218543
110,Clupea harengus,5,277.4855491
111,Clupea harengus,6,290.8974359
112,Clupea harengus,7,295.3846154
113,Clupea harengus,8,305
114,Clupea harengus,9,305
115,Clupea harengus,10,340
116,Clupea harengus,1,138.6452345
117,Clupea harengus,2,204.0477013
118,Clupea harengus,3,238.0657238
119,Clupea harengus,4,259.0934844
120,Clupea harengus,5,291.5131579
121,Clupea harengus,6,285.3571429
122,Clupea harengus,7,296.25
123,Clupea harengus,8,297.5
124,Clupea harengus,9,282.5
125,Clupea harengus,1,153.9946168
